id,index,period,timestamp,minute,second,type/id,type/name,possession,possession_team/id,possession_team/name,play_pattern/id,play_pattern/name,team/id,team/name,duration,tactics/formation,tactics/lineup/0/player/id,tactics/lineup/0/player/name,tactics/lineup/0/position/id,tactics/lineup/0/position/name,tactics/lineup/0/jersey_number,tactics/lineup/1/player/id,tactics/lineup/1/player/name,tactics/lineup/1/position/id,tactics/lineup/1/position/name,tactics/lineup/1/jersey_number,tactics/lineup/2/player/id,tactics/lineup/2/player/name,tactics/lineup/2/position/id,tactics/lineup/2/position/name,tactics/lineup/2/jersey_number,tactics/lineup/3/player/id,tactics/lineup/3/player/name,tactics/lineup/3/position/id,tactics/lineup/3/position/name,tactics/lineup/3/jersey_number,tactics/lineup/4/player/id,tactics/lineup/4/player/name,tactics/lineup/4/position/id,tactics/lineup/4/position/name,tactics/lineup/4/jersey_number,tactics/lineup/5/player/id,tactics/lineup/5/player/name,tactics/lineup/5/position/id,tactics/lineup/5/position/name,tactics/lineup/5/jersey_number,tactics/lineup/6/player/id,tactics/lineup/6/player/name,tactics/lineup/6/position/id,tactics/lineup/6/position/name,tactics/lineup/6/jersey_number,tactics/lineup/7/player/id,tactics/lineup/7/player/name,tactics/lineup/7/position/id,tactics/lineup/7/position/name,tactics/lineup/7/jersey_number,tactics/lineup/8/player/id,tactics/lineup/8/player/name,tactics/lineup/8/position/id,tactics/lineup/8/position/name,tactics/lineup/8/jersey_number,tactics/lineup/9/player/id,tactics/lineup/9/player/name,tactics/lineup/9/position/id,tactics/lineup/9/position/name,tactics/lineup/9/jersey_number,tactics/lineup/10/player/id,tactics/lineup/10/player/name,tactics/lineup/10/position/id,tactics/lineup/10/position/name,tactics/lineup/10/jersey_number,related_events/0,player/id,player/name,position/id,position/name,location/0,location/1,pass/recipient/id,pass/recipient/name,pass/length,pass/angle,pass/height/id,pass/height/name,pass/end_location/0,pass/end_location/1,pass/type/id,pass/type/name,pass/body_part/id,pass/body_part/name,related_events/1,carry/end_location/0,carry/end_location/1,pass/switch,pass/outcome/id,pass/outcome/name,ball_receipt/outcome/id,ball_receipt/outcome/name,counterpress,related_events/2,under_pressure,ball_recovery/recovery_failure,pass/assisted_shot_id,pass/shot_assist,pass/through_ball,pass/technique/id,pass/technique/name,shot/statsbomb_xg,shot/end_location/0,shot/end_location/1,shot/end_location/2,shot/key_pass_id,shot/first_time,shot/technique/id,shot/technique/name,shot/body_part/id,shot/body_part/name,shot/type/id,shot/type/name,shot/outcome/id,shot/outcome/name,shot/freeze_frame/0/location/0,shot/freeze_frame/0/location/1,shot/freeze_frame/0/player/id,shot/freeze_frame/0/player/name,shot/freeze_frame/0/position/id,shot/freeze_frame/0/position/name,shot/freeze_frame/0/teammate,shot/freeze_frame/1/location/0,shot/freeze_frame/1/location/1,shot/freeze_frame/1/player/id,shot/freeze_frame/1/player/name,shot/freeze_frame/1/position/id,shot/freeze_frame/1/position/name,shot/freeze_frame/1/teammate,shot/freeze_frame/2/location/0,shot/freeze_frame/2/location/1,shot/freeze_frame/2/player/id,shot/freeze_frame/2/player/name,shot/freeze_frame/2/position/id,shot/freeze_frame/2/position/name,shot/freeze_frame/2/teammate,shot/freeze_frame/3/location/0,shot/freeze_frame/3/location/1,shot/freeze_frame/3/player/id,shot/freeze_frame/3/player/name,shot/freeze_frame/3/position/id,shot/freeze_frame/3/position/name,shot/freeze_frame/3/teammate,shot/freeze_frame/4/location/0,shot/freeze_frame/4/location/1,shot/freeze_frame/4/player/id,shot/freeze_frame/4/player/name,shot/freeze_frame/4/position/id,shot/freeze_frame/4/position/name,shot/freeze_frame/4/teammate,shot/freeze_frame/5/location/0,shot/freeze_frame/5/location/1,shot/freeze_frame/5/player/id,shot/freeze_frame/5/player/name,shot/freeze_frame/5/position/id,shot/freeze_frame/5/position/name,shot/freeze_frame/5/teammate,shot/freeze_frame/6/location/0,shot/freeze_frame/6/location/1,shot/freeze_frame/6/player/id,shot/freeze_frame/6/player/name,shot/freeze_frame/6/position/id,shot/freeze_frame/6/position/name,shot/freeze_frame/6/teammate,shot/freeze_frame/7/location/0,shot/freeze_frame/7/location/1,shot/freeze_frame/7/player/id,shot/freeze_frame/7/player/name,shot/freeze_frame/7/position/id,shot/freeze_frame/7/position/name,shot/freeze_frame/7/teammate,shot/freeze_frame/8/location/0,shot/freeze_frame/8/location/1,shot/freeze_frame/8/player/id,shot/freeze_frame/8/player/name,shot/freeze_frame/8/position/id,shot/freeze_frame/8/position/name,shot/freeze_frame/8/teammate,shot/freeze_frame/9/location/0,shot/freeze_frame/9/location/1,shot/freeze_frame/9/player/id,shot/freeze_frame/9/player/name,shot/freeze_frame/9/position/id,shot/freeze_frame/9/position/name,shot/freeze_frame/9/teammate,shot/freeze_frame/10/location/0,shot/freeze_frame/10/location/1,shot/freeze_frame/10/player/id,shot/freeze_frame/10/player/name,shot/freeze_frame/10/position/id,shot/freeze_frame/10/position/name,shot/freeze_frame/10/teammate,goalkeeper/end_location/0,goalkeeper/end_location/1,goalkeeper/position/id,goalkeeper/position/name,goalkeeper/type/id,goalkeeper/type/name,pass/cross,duel/type/id,duel/type/name,pass/aerial_won,goalkeeper/outcome/id,goalkeeper/outcome/name,related_events/3,shot/freeze_frame/11/location/0,shot/freeze_frame/11/location/1,shot/freeze_frame/11/player/id,shot/freeze_frame/11/player/name,shot/freeze_frame/11/position/id,shot/freeze_frame/11/position/name,shot/freeze_frame/11/teammate,shot/freeze_frame/12/location/0,shot/freeze_frame/12/location/1,shot/freeze_frame/12/player/id,shot/freeze_frame/12/player/name,shot/freeze_frame/12/position/id,shot/freeze_frame/12/position/name,shot/freeze_frame/12/teammate,shot/freeze_frame/13/location/0,shot/freeze_frame/13/location/1,shot/freeze_frame/13/player/id,shot/freeze_frame/13/player/name,shot/freeze_frame/13/position/id,shot/freeze_frame/13/position/name,shot/freeze_frame/13/teammate,shot/freeze_frame/14/location/0,shot/freeze_frame/14/location/1,shot/freeze_frame/14/player/id,shot/freeze_frame/14/player/name,shot/freeze_frame/14/position/id,shot/freeze_frame/14/position/name,shot/freeze_frame/14/teammate,shot/freeze_frame/15/location/0,shot/freeze_frame/15/location/1,shot/freeze_frame/15/player/id,shot/freeze_frame/15/player/name,shot/freeze_frame/15/position/id,shot/freeze_frame/15/position/name,shot/freeze_frame/15/teammate,shot/freeze_frame/16/location/0,shot/freeze_frame/16/location/1,shot/freeze_frame/16/player/id,shot/freeze_frame/16/player/name,shot/freeze_frame/16/position/id,shot/freeze_frame/16/position/name,shot/freeze_frame/16/teammate,duel/outcome/id,duel/outcome/name,dribble/outcome/id,dribble/outcome/name,foul_committed/card/id,foul_committed/card/name,interception/outcome/id,interception/outcome/name,goalkeeper/body_part/id,goalkeeper/body_part/name,goalkeeper/technique/id,goalkeeper/technique/name,shot/freeze_frame/17/location/0,shot/freeze_frame/17/location/1,shot/freeze_frame/17/player/id,shot/freeze_frame/17/player/name,shot/freeze_frame/17/position/id,shot/freeze_frame/17/position/name,shot/freeze_frame/17/teammate,pass/backheel,dribble/overrun,block/offensive,pass/deflected,block/deflection,shot/aerial_won,foul_won/defensive,bad_behaviour/card/id,bad_behaviour/card/name,substitution/outcome/id,substitution/outcome/name,substitution/replacement/id,substitution/replacement/name,pass/cut_back,shot/one_on_one,foul_committed/advantage,foul_won/advantage,related_events/4,shot/freeze_frame/18/location/0,shot/freeze_frame/18/location/1,shot/freeze_frame/18/player/id,shot/freeze_frame/18/player/name,shot/freeze_frame/18/position/id,shot/freeze_frame/18/position/name,shot/freeze_frame/18/teammate,foul_committed/type/id,foul_committed/type/name,pass/goal_assist
ce508a95-38d3-4248-a50e-dc8d7e23230c,1,1,00:00:00.000,0,0,35,Starting XI,1,217,Barcelona,1,Regular Play,217,Barcelona,0,442,20055,Marc-André ter Stegen,1,Goalkeeper,1,6374,Nélson Cabral Semedo,2,Right Back,2,5213,Gerard Piqué Bernabéu,3,Right Center Back,3,5492,Samuel Yves Umtiti,5,Left Center Back,23,5211,Jordi Alba Ramos,6,Left Back,18,6379,Sergi Roberto Carnicer,12,Right Midfield,20,5203,Sergio Busquets i Burgos,13,Right Center Midfield,5,5470,Ivan Rakitić,15,Left Center Midfield,4,5477,Ousmane Dembélé,16,Left Midfield,11,5246,Luis Alberto Suárez Díaz,22,Right Center Forward,9,5503,Lionel Andrés Messi Cuccittini,24,Left Center Forward,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39abd1c2-2575-41be-ae79-3e936eead529,2,1,00:00:00.000,0,0,35,Starting XI,1,217,Barcelona,1,Regular Play,206,Deportivo Alavés,0,4141,6629,Fernando Pacheco Flores,1,Goalkeeper,1,6618,Martín Aguirregabiria Padilla,2,Right Back,21,6615,Víctor Laguardia Cisneros,3,Right Center Back,5,6855,Guillermo Alfonso Maripán Loaysa,5,Left Center Back,6,6612,Rubén Duarte Sánchez,6,Left Back,3,6839,Daniel Alejandro Torres Rojas,10,Center Defensive Midfield,16,6617,Ibai Gómez Pérez,12,Right Midfield,11,6626,Mubarak Wakaso,13,Right Center Midfield,22,6632,Manuel Alejandro García Sánchez,15,Left Center Midfield,19,6581,Jonathan Rodríguez Menéndez,16,Left Midfield,23,6613,Rubén Sobrino Pozuelo,23,Center Forward,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148e967-380f-421f-97f0-d0c820c72984,3,1,00:00:00.000,0,0,18,Half Start,1,217,Barcelona,1,Regular Play,206,Deportivo Alavés,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7cf6876d-7c50-4d64-b999-e2a039641c81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7cf6876d-7c50-4d64-b999-e2a039641c81,4,1,00:00:00.000,0,0,18,Half Start,1,217,Barcelona,1,Regular Play,217,Barcelona,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148e967-380f-421f-97f0-d0c820c72984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34208ade-2af4-45c3-970e-655937cad938,5,1,00:00:00.098,0,0,30,Pass,2,206,Deportivo Alavés,9,From Kick Off,206,Deportivo Alavés,1.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61da36dc-d862-416c-8ee3-1a0cd24dc086,6581,Jonathan Rodríguez Menéndez,16,Left Midfield,61,41,6855,Guillermo Alfonso Maripán Loaysa,29.15476,-2.6011732,1,Ground Pass,36,26,65,Kick Off,38,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61da36dc-d862-416c-8ee3-1a0cd24dc086,6,1,00:00:02.007,0,2,42,Ball Receipt*,2,206,Deportivo Alavés,9,From Kick Off,206,Deportivo Alavés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34208ade-2af4-45c3-970e-655937cad938,6855,Guillermo Alfonso Maripán Loaysa,5,Left Center Back,36,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e3dacc2-7a39-4301-9053-e78cfec1aa95,7,1,00:00:02.007,0,2,43,Carry,2,206,Deportivo Alavés,9,From Kick Off,206,Deportivo Alavés,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61da36dc-d862-416c-8ee3-1a0cd24dc086,6855,Guillermo Alfonso Maripán Loaysa,5,Left Center Back,36,26,,,,,,,,,,,,,d1cccb73-c7ef-4b02-8267-ebd7f149904b,36,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1cccb73-c7ef-4b02-8267-ebd7f149904b,8,1,00:00:03.497,0,3,30,Pass,2,206,Deportivo Alavés,9,From Kick Off,206,Deportivo Alavés,3.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e250fbc7-48d6-42a9-a861-efc6fbe8ac25,6855,Guillermo Alfonso Maripán Loaysa,5,Left Center Back,36,29,6613,Rubén Sobrino Pozuelo,66.6033,0.72165483,3,High Pass,86,73,,,40,Right Foot,f1cc47d6-4b19-45a6-beb9-33d67fc83f4b,,,true,9,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e250fbc7-48d6-42a9-a861-efc6fbe8ac25,9,1,00:00:06.785,0,6,42,Ball Receipt*,2,206,Deportivo Alavés,9,From Kick Off,206,Deportivo Alavés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d1cccb73-c7ef-4b02-8267-ebd7f149904b,6613,Rubén Sobrino Pozuelo,23,Center Forward,85,73,,,,,,,,,,,,,,,,,,,9,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1cc47d6-4b19-45a6-beb9-33d67fc83f4b,10,1,00:00:06.785,0,6,30,Pass,3,217,Barcelona,1,Regular Play,217,Barcelona,1.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d1cccb73-c7ef-4b02-8267-ebd7f149904b,5203,Sergio Busquets i Burgos,13,Right Center Midfield,35,8,5470,Ivan Rakitić,13,1.5707964,3,High Pass,35,21,66,Recovery,37,Head,f1e3fdd9-471c-469a-832f-12b280dd0fed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
